_id,creation_date,id,post_id,score,user_id
614ca7946378ff93c07f80db,2015-08-03T17:36:45.147Z,51514833,31792642,0,91
614ca7946378ff93c07f80dc,2018-02-05T06:00:37.640Z,84230034,48615537,0,91
614ca7946378ff93c07f80dd,2018-02-06T20:16:42.450Z,84300381,48650348,0,91
614ca7946378ff93c07f80de,2018-02-06T21:11:45.263Z,84301975,48650348,0,91
614ca7946378ff93c07f80df,2018-03-13T19:54:27.300Z,85532955,49264551,0,91
614ca7946378ff93c07f80e0,2018-03-15T21:46:57.770Z,85621545,49270251,0,91
614ca7946378ff93c07f80e1,2016-01-11T21:53:15.607Z,57209875,34731419,0,91
614ca7946378ff93c07f80e2,2016-01-11T21:55:02.317Z,57209940,34731419,0,91
614ca7946378ff93c07f80e3,2016-01-14T18:28:19.123Z,57337177,34796990,1,91
614ca7946378ff93c07f80e4,2016-01-21T19:16:45.060Z,57597654,136038,2,91
614ca7946378ff93c07f80e5,2016-02-03T09:03:19.327Z,58062529,8874607,2,91
614ca7946378ff93c07f80e6,2015-05-11T17:24:00.283Z,48453854,30173780,0,91
614ca7946378ff93c07f80e7,2015-05-11T17:52:10.230Z,48454791,30173780,0,91
614ca7946378ff93c07f80e8,2015-05-13T19:14:31.587Z,48550666,30179597,0,91
614ca7946378ff93c07f80e9,2015-05-21T23:00:18.903Z,48860684,30385519,0,91
614ca7946378ff93c07f80ea,2015-01-01T07:00:36.893Z,43869496,27728911,0,91
614ca7946378ff93c07f80eb,2014-11-17T19:47:07.237Z,42495528,26980660,3,91
614ca7946378ff93c07f80ec,2015-06-26T23:24:07.080Z,50185106,31083378,0,91
614ca7946378ff93c07f80ed,2015-06-30T16:54:03.347Z,50298600,31135334,0,91
614ca7946378ff93c07f80ee,2015-07-02T16:40:58.267Z,50385332,31190058,3,91
614ca7946378ff93c07f80ef,2013-12-08T12:30:12.350Z,30559177,20453310,0,91
614ca7946378ff93c07f80f0,2013-12-08T12:31:14.417Z,30559194,20453310,2,91
614ca7946378ff93c07f80f1,2021-06-22T14:59:23.357Z,120338536,56023347,0,91
614ca7946378ff93c07f80f2,2021-06-22T15:14:40.650Z,120338959,57497558,1,91
614ca7946378ff93c07f80f3,2021-07-20T14:52:17.780Z,120984826,68456827,1,91
614ca7946378ff93c07f80f4,2021-07-20T14:47:11.847Z,120984680,68456827,2,91
614ca7946378ff93c07f80f5,2013-01-09T05:15:16.697Z,19738450,14228432,1,91
614ca7946378ff93c07f80f6,2014-09-10T05:39:01.713Z,40278646,25757942,0,91
614ca7946378ff93c07f80f7,2014-09-10T05:39:40.780Z,40278660,25757875,0,91
614ca7946378ff93c07f80f8,2014-10-15T23:16:56.007Z,41439839,26392801,0,91
614ca7946378ff93c07f80f9,2014-10-30T21:20:35.127Z,41928788,26663503,0,91
614ca7946378ff93c07f80fa,2014-09-10T05:33:10.557Z,40278546,25757942,1,91
614ca7946378ff93c07f80fb,2014-10-30T22:09:09.040Z,41930154,26663503,1,91
614ca7946378ff93c07f80fc,2008-08-01T22:31:54.623Z,16421064,236,0,91
614ca7946378ff93c07f80fd,2012-09-11T05:37:42.143Z,16604052,6115338,0,91
614ca7946378ff93c07f80fe,2012-09-21T20:36:36.590Z,16882129,12531331,0,91
614ca7946378ff93c07f80ff,2012-09-24T11:22:44.187Z,16924329,12539806,0,91
614ca7946378ff93c07f8100,2012-09-24T17:49:12.430Z,16934292,12539806,0,91
614ca7946378ff93c07f8101,2012-10-10T00:25:54.200Z,17325156,12810269,0,91
614ca7946378ff93c07f8102,2012-10-15T20:58:14.363Z,17479301,12809302,0,91
614ca7946378ff93c07f8103,2012-10-15T21:00:23.273Z,17479345,12903327,0,91
614ca7946378ff93c07f8104,2012-10-18T22:20:13.837Z,17578871,12444230,0,91
614ca7946378ff93c07f8105,2012-10-20T22:44:25.833Z,17626335,12993294,0,91
614ca7946378ff93c07f8106,2012-10-20T23:17:58.957Z,17626647,12988545,0,91
614ca7946378ff93c07f8107,2012-10-22T17:11:55.130Z,17664393,13016268,0,91
614ca7946378ff93c07f8108,2015-03-11T17:49:35.827Z,46235703,24583204,17,91
614ca7946378ff93c07f8109,2015-04-01T19:57:37.837Z,46975204,47890,3,91
614ca7946378ff93c07f810a,2015-02-02T04:19:14.860Z,44897617,28271023,0,91
614ca7946378ff93c07f810b,2015-02-04T23:22:50.207Z,45013850,28333322,0,91
614ca7946378ff93c07f810c,2015-02-02T04:18:15.553Z,44897599,28271023,1,91
614ca7946378ff93c07f810d,2015-09-30T08:38:38.447Z,53555709,32861459,0,91
614ca7946378ff93c07f810e,2013-03-09T17:45:18.220Z,21618522,15313789,0,91
614ca7946378ff93c07f810f,2013-04-02T01:00:29.993Z,22389631,15745444,0,91
614ca7946378ff93c07f8110,2013-04-10T22:37:03.000Z,22707218,15937718,0,91
614ca7946378ff93c07f8111,2013-04-12T01:37:20.343Z,22748969,15961525,0,91
614ca7946378ff93c07f8112,2008-08-01T22:18:21.623Z,112821131,231,0,91
614ca7946378ff93c07f8113,2017-05-09T20:32:40.710Z,74793693,43404164,1,91
614ca7946378ff93c07f8114,2019-11-03T01:11:37.813Z,103654211,58676568,0,91
614ca7946378ff93c07f8115,2019-11-04T21:24:01.423Z,103698380,58685254,0,91
614ca7946378ff93c07f8116,2014-07-15T07:01:33.677Z,38401865,24744714,0,91
614ca7946378ff93c07f8117,2014-03-24T08:41:09.767Z,34416880,22603603,0,91
614ca7946378ff93c07f8118,2014-04-19T09:05:39.930Z,35430552,23167981,0,91
614ca7946378ff93c07f8119,2014-05-02T04:31:56.150Z,35891349,5529010,0,91
614ca7946378ff93c07f811a,2021-06-15T14:47:05.327Z,120169297,3693897,0,91
614ca7946378ff93c07f811b,2016-07-08T17:20:54.190Z,63963753,6417,59,91
614ca7946378ff93c07f811c,2016-07-15T17:51:43.070Z,64212829,5726944,0,91
614ca7946378ff93c07f811d,2012-10-25T19:46:16.577Z,17763928,13060080,0,91
614ca7946378ff93c07f811e,2012-11-01T08:27:25.293Z,17926588,13173312,0,91
614ca7946378ff93c07f811f,2012-11-07T20:38:15.897Z,18100381,13277733,0,91
614ca7946378ff93c07f8120,2008-08-06T18:45:56.213Z,18306732,3831,0,91
614ca7946378ff93c07f8121,2012-12-10T16:21:52.313Z,18990539,2147,0,91
614ca7946378ff93c07f8122,2012-11-01T17:43:44.610Z,17941784,13169411,1,91
614ca7946378ff93c07f8123,2012-11-01T08:29:41.763Z,17926619,13173312,2,91
614ca7946378ff93c07f8124,2012-11-17T09:14:44.830Z,18355716,13429190,3,91
