_id,accepted_answer_id,answer_count,comment_count,creation_date,favorite_count,id,last_activity_date,last_editor_user_id,owner_user_id,post_type_id,score,tags,title,view_count
614ca7916378ff93c07f3525,9440676,1,2,2012-02-25T02:10:09.017Z,NaN,9440546,2012-02-25T02:34:11.923Z,91,91,1,1,java|spring,Does Java support something like Type Forwarding?,96
614ca7916378ff93c07f3526,51394689,10,0,2018-07-15T04:08:07.890Z,42,51345161,2021-06-25T22:26:39.440Z,91,91,1,141,c#|.net|logging|.net-core|.net-standard,"Should I take ILogger, ILogger<T>, ILoggerFactory or ILoggerProvider for a library?",44296
614ca7916378ff93c07f3527,NaN,1,0,2015-03-11T21:54:58.650Z,NaN,28998143,2015-03-11T21:57:41.273Z,NaN,91,1,0,javascript|angularjs,How to transform two collections into one,39
614ca7916378ff93c07f3528,21058836,1,0,2014-01-11T05:12:18.427Z,NaN,21058775,2014-01-11T05:35:13.297Z,NaN,91,1,4,c++|c|random,Can I get the current seed from a Mersenne Twister?,1367
614ca7916378ff93c07f3529,NaN,0,2,2015-12-08T00:13:58.003Z,NaN,34145804,2015-12-08T00:21:16.820Z,91,91,1,1,c#|.net|serialization,Is there a built-in or common way to serialize a class definition?,50
614ca7916378ff93c07f352a,58676568,2,0,2019-11-02T20:53:52.253Z,3,58675200,2020-04-16T00:05:24.563Z,NaN,91,1,8,github-actions,"In GitHub Actions, can I return back a value to be used as a condition later?",4551
614ca7916378ff93c07f352b,32959643,1,2,2015-10-05T18:44:09.277Z,NaN,32955658,2015-10-05T23:50:59.853Z,NaN,91,1,0,c|ubuntu|ncurses,What is the correct way to use wide-char ncurses on Debian/Ubuntu?,1488
614ca7916378ff93c07f352c,24618996,2,3,2014-07-05T05:12:00.827Z,18,24583204,2016-12-26T05:09:23.527Z,23528,91,1,74,javascript|node.js|electron,What is the Client/Server model when using Electron (Atom Shell)?,22385
614ca7916378ff93c07f352d,31084061,3,4,2015-06-26T23:04:19.160Z,1,31083378,2015-06-27T00:56:30.817Z,NaN,91,1,6,c#|.net|algorithm|combinatorics,Is there a standard algorithm to balance overlapping objects into buckets?,428
614ca7916378ff93c07f352e,49270251,3,2,2018-03-13T19:00:57.077Z,2,49263968,2018-03-14T05:23:36.043Z,NaN,91,1,4,c#|.net|unsafe,"Does ""fixed"" get cleaned up properly if an Exception is thrown?",147
614ca7916378ff93c07f352f,NaN,0,4,2016-01-11T21:27:56.003Z,NaN,34731419,2016-01-11T21:39:59.593Z,91,91,1,1,node.js,Can I wrap exception throwing code into a callback?,51
614ca7916378ff93c07f3530,18008256,1,0,2013-08-02T03:21:20.003Z,1,18008224,2016-04-19T16:07:14.220Z,253056,91,1,4,xcode|macos|powerpc|osx-tiger,"What's the recommended XCode to build PPC/Tiger binaries?",2200
614ca7916378ff93c07f3531,NaN,1,9,2013-06-27T07:43:01.580Z,NaN,17337452,2013-06-27T08:13:49.203Z,NaN,91,1,0,c#|.net|dispose|finalizer,Can a Finalizer use a string member?,261
614ca7916378ff93c07f3532,NaN,1,0,2013-06-27T06:46:30.170Z,NaN,17336321,2013-06-27T23:44:30.193Z,NaN,91,1,3,.net|sql-server|entity-framework|visual-studio-2012,Can I initialize a database from a database project?,176
614ca7916378ff93c07f3533,63079098,2,10,2020-07-24T15:47:36.537Z,1,63077017,2020-07-24T17:59:04.777Z,91,91,1,3,c#|arrays|c|struct|pinvoke,How should I pass an array of strings to a C library using P/Invoke?,86
614ca7916378ff93c07f3534,47402789,2,4,2017-11-20T19:25:56.803Z,3,47399591,2017-12-17T23:14:44.060Z,63550,91,1,2,c#|.net,Can I create a Dictionary of Funcs that vary in their first argument?,335
614ca7916378ff93c07f3535,NaN,1,2,2020-11-30T02:27:26.907Z,NaN,65067378,2020-11-30T02:35:39.133Z,NaN,91,1,2,c++|c++20|cinterop,Can I safely use a string_view if I need to eventually need to get a char pointer?,200
614ca7916378ff93c07f3536,11604675,3,0,2012-07-14T00:24:08.600Z,1,11479928,2013-06-17T22:43:30.913Z,NaN,91,1,9,.net|exchange-server|exchangewebservices|exchange-server-2007,Getting Exchange Appointments by ICalUid?,6094
614ca7916378ff93c07f3537,NaN,0,5,2016-12-28T15:13:48.500Z,1,41364809,2016-12-28T15:21:36.063Z,91,91,1,3,lazarus|freepascal,True free heap not what it should be after ShellExecute,242
614ca7916378ff93c07f3538,13739184,1,0,2012-12-06T07:50:48.710Z,1,13739146,2012-12-06T08:07:56.477Z,NaN,91,1,4,c#|.net|endianness,How do Little and Big Endian look if I want padding to 4 bytes?,1653
614ca7916378ff93c07f3539,9008515,2,0,2012-01-25T18:23:31.047Z,1,9008065,2012-01-25T19:09:56.853Z,NaN,91,1,4,.net|automation|windbg|sos,Automating WinDBG or otherwise extracting information from Dump Files?,1659
614ca7916378ff93c07f353a,30179597,1,5,2015-05-11T17:16:49.090Z,2,30173780,2015-05-12T00:06:19.107Z,149064,91,1,2,c#|.net|asp.net-core|roslyn|.net-core,Can I use roslyn and the new .net project format to create classes on build?,735
614ca7916378ff93c07f353b,43404164,3,2,2017-04-13T21:31:14.723Z,3,43402064,2017-05-17T15:35:04.473Z,213550,91,1,9,c#|pattern-matching|c#-7.0,Can I simplify this C# 7 switch statement to not re-state the type?,3563
614ca7916378ff93c07f353c,NaN,0,3,2018-08-30T14:22:56.853Z,1,52099386,2018-08-30T15:49:39.213Z,91,91,1,1,.net|.net-core|continuous-integration|nuget,Can I detect if the sources of a Nuget package changed when doing CI?,113
614ca7916378ff93c07f353d,NaN,1,2,2018-04-16T19:16:51.553Z,NaN,49864704,2018-04-16T19:18:50.900Z,NaN,91,1,1,git,Can I have git create a commit that makes a branch look exactly like another?,46
614ca7916378ff93c07f353e,NaN,1,0,2014-06-26T04:52:00.777Z,NaN,24422598,2014-08-01T23:47:02.127Z,NaN,91,1,2,macos|mono|gtk|gtk#,How to disable white drop shadow in label?,546
614ca7916378ff93c07f353f,NaN,4,12,2014-06-18T21:55:49.613Z,4,24295653,2017-12-03T04:40:52.860Z,NaN,91,1,10,c#|asp.net|.net|asp.net-web-api|async-await,How would I pass a Web API Request through Dependency Injection?,2667
614ca7916378ff93c07f3540,12809302,1,0,2012-10-09T17:31:10.320Z,NaN,12805296,2012-10-09T22:24:38.277Z,NaN,91,1,2,c#|.net|wcf|web-services|soap,How to decode multipart/related responses in WCF?,3001
614ca7916378ff93c07f3541,NaN,1,7,2011-04-14T01:14:12.030Z,NaN,5657510,2011-04-14T01:20:14.923Z,NaN,91,1,0,.net|asp.net|xml|web-config,Are web.config files always valid XML?,298
614ca7916378ff93c07f3542,6158962,1,0,2011-05-28T00:37:03.717Z,NaN,6158909,2011-05-28T00:50:01.283Z,NaN,91,1,0,.net|asp.net|iis|impersonation|ntlm,Is it possible to impersonate someone using NTLM on the local machine?,950
614ca7916378ff93c07f3543,6021886,1,3,2011-05-16T18:39:11.573Z,NaN,6021818,2011-05-16T18:44:48.510Z,NaN,91,1,25,visual-studio-2010|tfs,Is there a way to do a partial checkin in TFS?,2605
614ca7916378ff93c07f3544,6246879,2,0,2011-06-06T00:23:12.077Z,1,6246852,2011-06-06T04:14:59.287Z,NaN,91,1,4,.net|debugging|windbg,Detect undisposed instances of a class in a running process?,348
614ca7916378ff93c07f3545,NaN,2,0,2011-04-18T07:17:39.283Z,1,5699687,2012-07-31T10:28:34.357Z,NaN,91,1,5,.net|msdn,Programmatically querying MSDN?,176
614ca7916378ff93c07f3546,NaN,2,1,2011-05-11T01:44:47.667Z,2,5958352,2011-05-17T05:23:22.200Z,NaN,91,1,5,.net|wcf|kerberos|delegation,Any good Resources for WCF Delegation?,388
614ca7916378ff93c07f3547,6232766,2,0,2011-06-03T20:11:52.277Z,2,6232144,2011-08-29T23:56:17.120Z,NaN,91,1,6,.net|sharepoint|reflection|sharepoint-2010,"Detecting if I'm running in SharePoint",282
614ca7916378ff93c07f3548,5628674,2,0,2011-04-11T23:11:39.677Z,5,5628636,2011-04-11T23:16:57.047Z,NaN,91,1,12,sql-server|tsql|sql-server-2008,"Is there a ""Default Order By Column"" in SQL Server?",11470
614ca7916378ff93c07f3549,6433371,3,0,2011-04-19T22:32:26.050Z,NaN,5723523,2011-06-21T23:54:08.480Z,NaN,91,1,3,c#|.net|wcf|web-config,Use new ChannelFactory<TChannel>(string) if the config is in a string?,2270
614ca7916378ff93c07f354a,6274766,3,1,2011-06-08T00:09:46.873Z,2,6272952,2015-05-28T15:10:50.697Z,NaN,91,1,5,.net|asp.net|visual-studio|visual-studio-2010|nuget,Creating a Visual Studio Project Template that already includes a Nuget Package Reference?,3764
614ca7916378ff93c07f354b,NaN,3,0,2011-05-23T00:40:14.627Z,6,6091800,2011-05-23T01:58:57.733Z,314166,91,1,8,ruby|windows|linux|macos|user-interface,Doing native GUI with Ruby,1742
614ca7916378ff93c07f354c,6434480,4,7,2011-05-23T19:08:13.100Z,1,6101722,2015-05-27T17:38:30.060Z,NaN,91,1,2,firefox|web-applications|webkit|xul,Executable HTML/Javascript Applications on the Desktop?,930
