_id,about_me,age,creation_date,display_name,down_votes,id,last_access_date,location,profile_image_url,reputation,up_votes,views,website_url
614ca7906378ff93c07f345d,"<p>The same thing we do every night, Pinky. Try to take over the world!</p>

<p>Full-Stack Developer on <a href=""https://stackoverflow.com/enterprise"">Stack Overflow Enterprise</a>, working to make our little corner of the Internet better for all of us.</p>

<p>I also have <a href=""https://stum.de/"" rel=""nofollow noreferrer"">a blog</a> and a <a href=""https://twitter.com/mstum"" rel=""nofollow noreferrer"">Twitter</a>.</p>",null,2008-08-01T17:55:22.200Z,Michael Stum,55,91,2021-09-03T16:04:32.200Z,"Raleigh, NC, United States",null,169147,7245,13852,https://www.Stum.de
614ca7906378ff93c07f345e,"<p>I'm a developer who is filling out this profile just to get the 'filled out everything' badge.</p>

<p>=)</p>",null,2008-08-18T00:34:30.213Z,tsimon,19,1685,2021-09-03T03:32:25.873Z,"Canberra, Australia",null,8152,199,632,null
614ca7906378ff93c07f345f,"<p>I'm a PhD student at the <a href=""http://www.icss.soton.ac.uk"" rel=""nofollow"">Institute for Complex Systems Simulation</a> at the <a href=""http://www.soton.ac.uk"" rel=""nofollow"">University of Southampton</a>, UK studying complexity in Remote Sensing.</p>

<p>As part of my work I am heavily involved in Remote Sensing and GIS technologies - particularly ENVI/IDL programming and ArcGIS scripting using Python.</p>

<p>My <a href=""http://www.rtwilson.com/academic"" rel=""nofollow"">academic website</a> shows some examples of my work, and links to some of the <a href=""http://www.rtwilson.com/academic/software"" rel=""nofollow"">software I have written</a>.</p>",null,2008-08-19T14:07:17.170Z,robintw,9,1912,2021-08-27T15:30:04.127Z,"England, United Kingdom",null,24959,615,1250,http://www.rtwilson.com
614ca7906378ff93c07f3460,"<p>I know a little about a lot of things.
I like to dabble in C.<br>
At the moment, my main focus is on Illustrator and Photoshop.</p>",null,2008-08-19T16:13:37.850Z,Laura,0,1971,2012-03-06T01:09:37.393Z,"Yosemite National Park, CA",null,523,14,363,null
614ca7906378ff93c07f3461,A Software Engineer in NYC.,null,2008-09-03T02:34:07.627Z,Matthew Jaskula,0,4356,2021-06-22T19:09:08.570Z,"New York, NY",null,1206,44,190,http://matthewjaskula.com
614ca7906378ff93c07f3462,. . . . . . . . . . .,null,2008-09-09T21:19:29.553Z,Oskar,21,5472,2021-06-14T16:12:57.367Z,"London, United Kingdom",null,2194,436,254,http://google.co.uk
614ca7906378ff93c07f3463,null,null,2008-09-10T14:02:58.080Z,EightyOne Unite,6,5559,2021-08-27T12:26:40.447Z,United Kingdom,https://i.stack.imgur.com/In37c.png,11241,10108,1135,http://www.eightyoneunite.com
614ca7906378ff93c07f3464,null,null,2008-09-11T10:49:46.490Z,Kyle,0,5772,2018-07-11T19:47:05.713Z,United States,null,537,5,55,null
614ca7906378ff93c07f3465,null,null,2008-09-11T13:33:37.550Z,Andrew Jahn,0,5831,2011-10-13T15:31:18.230Z,null,null,647,45,124,null
614ca7906378ff93c07f3466,<p>Here I am</p>,null,2008-09-15T12:31:34.030Z,blaxter,0,6714,2021-09-03T11:19:51.187Z,"Zaragoza, Spain",null,335,19,56,http://bicosyes.com
614ca7906378ff93c07f3467,null,null,2008-09-15T12:49:49.057Z,user6915,0,6915,2008-12-05T16:48:57.640Z,null,null,441,0,20,null
614ca7906378ff93c07f3468,null,null,2008-09-15T14:18:54.380Z,Brad Richards,0,7732,2021-08-17T08:42:09.167Z,Switzerland,null,1153,6,110,null
614ca7906378ff93c07f3469,"<p>Not all those who wander are lost.</p>

<p><a href=""http://en.wikipedia.org/wiki/Shuhari"" rel=""nofollow noreferrer"">http://en.wikipedia.org/wiki/Shuhari</a></p>",null,2008-09-15T15:48:09.360Z,Zachary Yates,33,8360,2021-09-05T05:33:40.527Z,"Sterling, VA, USA",null,11812,4778,1206,null
614ca7906378ff93c07f346a,Programmer with little to no life to speak of.,null,2008-09-15T18:59:40.010Z,MikeL,0,9501,2010-02-08T16:45:41.457Z,United States,null,211,2,23,http://None.
614ca7906378ff93c07f346b,"<p>PHP, VBA, VBS, C#, HTML, Javascript, SQL</p>",null,2008-09-16T05:23:36.827Z,unrealtrip,3,11130,2021-02-02T00:41:18.333Z,California,null,650,135,211,http://secretreality.com
614ca7906378ff93c07f346c,"Web Consultant with over 10 years experience developing online applications using .Net, VB, C#, JS, HTML etc...",null,2008-09-16T14:09:39.323Z,Toby Mills,3,12377,2021-09-02T07:36:10.343Z,"Dubai, United Arab Emirates",null,986,184,187,http://www.tobymills.com/blog
614ca7906378ff93c07f346d,"I'm a web developer from Canada.
My favorite languages are JAVA, PHP, MYSQL JavaScript and CSS. 

I also enjoy frameworks such as Code Igniter and JQuery.",null,2008-09-16T14:45:22.937Z,dezwald,0,12564,2009-01-22T21:50:12.620Z,Canada,null,369,16,71,http://stackoverflow.com/users/12564/dezwald
